symbol,timeframe,net_pnl,max_drawdown,win_rate,profit_factor,trade_count,test_net_pnl,strategy_id
HC,1d,23241.14948,-5238.858319999992,0.5833333333333334,3.349239320169588,24,3893.0127599999946,donchian_atr|both|1d|w3|sw0.006|br0.001|lb16|sl0.015|mh96|cd4|atr20|am3.2|ex24|mom48|vol48|th0.4|strict
HC,1d,22218.7573,-5478.307199999999,0.5833333333333334,3.628885205614459,24,7193.143400000008,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb32|sl0.015|mh64|cd4|atr10|am3|ex16|mom48|vol48|th0.4|strict
HC,1d,20860.00572,-5348.889319999998,0.5833333333333334,3.0955990611445525,24,2283.012759999996,donchian_atr|both|1d|w3|sw0.006|br0.0025|lb16|sl0.015|mh96|cd4|atr20|am3.2|ex24|mom48|vol48|th0.4|strict
HC,1d,20497.81568,-4932.680960000005,0.5833333333333334,3.15013773299036,24,3540.010959999999,donchian_atr|both|1d|w3|sw0.006|br0.005|lb16|sl0.015|mh96|cd4|atr20|am3.2|ex12|mom48|vol48|th0.4|strict
SA,60m,3434.1399999999985,-1924.0,0.5833333333333334,1.9464590590188244,24,1760.7420000000002,donchian_atr|both|60m|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr10|am3|ex8|mom48|vol48|th0.4|strict
SA,60m,2390.1392000000014,-2129.9794,0.5833333333333334,1.5285119107927398,24,1608.7572000000018,donchian_atr|both|60m|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr10|am3|ex16|mom48|vol48|th0.4|strict
HC,1d,21523.64371428571,-3962.977428571431,0.5806451612903226,3.063617964941758,31,4212.8813571428545,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb32|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.4|strict
HC,1d,18588.893039999995,-3049.2004800000013,0.5806451612903226,2.491224225297618,31,5198.042159999997,donchian_atr|both|1d|w3|sw0.006|br0.001|lb24|sl0.015|mh24|cd4|atr20|am3.2|ex12|mom48|vol48|th0.4|strict
HC,1d,17445.36917142856,-3473.2072000000007,0.5806451612903226,2.5417965670490563,31,2372.525685714278,donchian_atr|both|1d|w3|sw0.006|br0.005|lb16|sl0.015|mh24|cd4|atr14|am3.2|ex24|mom48|vol48|th0.4|strict
HC,1d,14999.805679999998,-5703.940160000004,0.5806451612903226,2.211985507749257,31,4660.703839999998,donchian_atr|both|1d|w3|sw0.006|br0.0025|lb24|sl0.015|mh24|cd4|atr10|am3.2|ex12|mom48|vol48|th0.4|strict
HC,1d,25829.15574285713,-5298.490085714287,0.5769230769230769,3.278055574574619,26,5593.172514285703,donchian_atr|both|1d|w3|sw0.006|br0.001|lb16|sl0.015|mh96|cd4|atr14|am3.2|ex24|mom48|vol48|th0.4|strict
HC,1d,23291.494999999984,-5518.468085714287,0.5769230769230769,3.052854338879224,26,3993.1725142857026,donchian_atr|both|1d|w3|sw0.006|br0.0025|lb16|sl0.015|mh96|cd4|atr14|am3.2|ex24|mom48|vol48|th0.4|strict
