symbol,timeframe,net_pnl,max_drawdown,win_rate,profit_factor,trade_count,test_net_pnl,strategy_id
HC,1d,46831.57701800011,-14067.524519999955,0.23529411764705882,2.057978645955842,102,9761.25328800002,swing_reversal|both|1d|w3|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|aggressive
SP,1d,46781.06625000006,-10590.022189999989,0.2631578947368421,3.0247906439404955,38,8358.330760000012,swing_reversal|both|1d|w3|sw0.004|br0.0015|lb24|sl0.015|mh64|cd4|strict
FG,1d,46535.559499999974,-15903.627571428568,0.42,1.8756432694763974,100,8521.714785714286,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr14|am2.5|ex8|mom48|vol48|th0.4|signal
SP,1d,46516.50431000006,-11481.001139999971,0.2564102564102564,2.899508022261344,39,7627.125260000012,trend_failure|both|1d|w3|sw0.008|br0.003|lb24|sl0.015|mh64|cd4|strict
SP,1d,46505.733740000076,-11475.833649999979,0.25,2.885920546662216,40,8487.125260000012,trend_failure|both|1d|w3|sw0.004|br0.0015|lb24|sl0.015|mh64|cd4|strict
RB,1d,46421.16739999996,-15569.936200000004,0.43842364532019706,1.6474199524411286,203,1762.1277999999925,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr10|am2|ex12|mom24|vol16|th0.4|strict
HC,1d,46415.06179600009,-23109.310649999992,0.24528301886792453,2.0452824288154416,106,10801.346271000011,trend_failure|both|1d|w3|sw0.008|br0.003|lb24|sl0.015|mh32|cd4|strict
HC,1d,46415.06179600009,-23109.310649999992,0.24528301886792453,2.0452824288154416,106,10801.346271000011,trend_failure|both|1d|w3|sw0.008|br0.003|lb24|sl0.015|mh32|cd4|signal
HC,1d,46415.06179600009,-23109.310649999992,0.24528301886792453,2.0452824288154416,106,10801.346271000011,trend_failure|both|1d|w3|sw0.008|br0.003|lb24|sl0.015|mh32|cd4|aggressive
CJ,1d,46126.170612500144,-19075.0,0.14285714285714285,2.0001150504239398,63,6299.941962500034,trend_failure|both|1d|w3|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|signal
CJ,1d,46125.415537500136,-19075.0,0.14285714285714285,2.000082305761257,63,6299.941962500034,trend_failure|both|1d|w3|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|signal
SP,1d,45935.755010000066,-10595.189679999981,0.25,2.9652378741405307,36,8688.586250000013,swing_reversal|both|1d|w3|sw0.008|br0.003|lb24|sl0.015|mh64|cd4|aggressive
FG,1d,45740.79639999999,-14309.697000000015,0.43010752688172044,1.8831148291593134,93,4505.538599999998,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr10|am3|ex8|mom48|vol48|th0.4|signal
SP,1d,45604.13387000008,-12846.936869999998,0.24615384615384617,2.0708974018481987,65,4227.32335000003,breakout|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|signal
SP,1d,45559.67992000005,-10590.022189999989,0.2631578947368421,2.87291576104086,38,9168.586250000013,swing_reversal|both|1d|w3|sw0.008|br0.0015|lb24|sl0.015|mh64|cd4|aggressive
