symbol,timeframe,net_pnl,max_drawdown,win_rate,profit_factor,trade_count,test_net_pnl,strategy_id
C,60m,1744.9269910000057,-1203.9250299999976,0.5,1.6946066748517774,20,835.0299200000007,trend_failure|both|60m|w2|sw0.004|br0.003|lb24|sl0.015|mh64|cd4|signal
C,60m,1744.9269910000057,-1203.9250299999976,0.5,1.6946066748517774,20,835.0299200000007,trend_failure|both|60m|w2|sw0.004|br0.003|lb24|sl0.015|mh64|cd4|strict
UR,15m,1175.7951770000059,-3914.0639510000083,0.5,1.1936497210572952,28,737.025379999999,trend_failure|both|15m|w3|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|aggressive
UR,15m,1175.7951770000059,-3914.0639510000083,0.5,1.1936497210572952,28,737.025379999999,trend_failure|both|15m|w3|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|strict
UR,15m,1175.7951770000059,-3914.0639510000083,0.5,1.1936497210572952,28,737.025379999999,trend_failure|both|15m|w3|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|signal
C,60m,883.4407029999973,-1256.7924605000026,0.5,1.331864393547488,30,298.746,trend_failure|both|60m|w2|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|signal
C,60m,883.4407029999973,-1256.7924605000026,0.5,1.331864393547488,30,298.746,trend_failure|both|60m|w2|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|aggressive
C,60m,883.4407029999973,-1256.7924605000026,0.5,1.331864393547488,30,298.746,trend_failure|both|60m|w2|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|strict
RB,60m,440.8537690000043,-2219.035466999996,0.5,1.129863312254203,22,874.1289999999999,trend_failure|both|60m|w3|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|aggressive
RB,60m,440.8537690000043,-2219.035466999996,0.5,1.129863312254203,22,874.1289999999999,trend_failure|both|60m|w3|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|signal
RB,60m,440.8537690000043,-2219.035466999996,0.5,1.129863312254203,22,874.1289999999999,trend_failure|both|60m|w3|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|strict
SA,60m,1735.1322600000092,-2024.9343800000042,0.48,1.3445189233830352,25,1019.9158100000122,breakout|both|60m|w3|sw0.006|br0.0015|lb32|sl0.015|mh32|cd4|aggressive
SA,60m,1735.1322600000092,-2024.9343800000042,0.48,1.3445189233830352,25,1019.9158100000122,breakout|both|60m|w3|sw0.006|br0.0015|lb32|sl0.015|mh32|cd4|strict
SA,60m,1735.1322600000092,-2024.9343800000042,0.48,1.3445189233830352,25,1019.9158100000122,breakout|both|60m|w3|sw0.006|br0.0015|lb32|sl0.015|mh32|cd4|signal
SA,15m,1380.289807999988,-1851.7441120000149,0.48,1.5821840548035042,25,396.3844500000018,trend_failure|both|15m|w3|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|aggressive
SA,15m,1380.289807999988,-1851.7441120000149,0.48,1.5821840548035042,25,396.3844500000018,trend_failure|both|15m|w3|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|signal
SA,15m,1380.289807999988,-1851.7441120000149,0.48,1.5821840548035042,25,396.3844500000018,trend_failure|both|15m|w3|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|strict
RM,15m,524.5620399999883,-927.5599999999995,0.48,1.2950096860386962,25,468.41052449999995,trend_failure|both|15m|w2|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|signal
RM,15m,524.5620399999883,-927.5599999999995,0.48,1.2950096860386962,25,468.41052449999995,trend_failure|both|15m|w2|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|aggressive
RM,15m,524.5620399999883,-927.5599999999995,0.48,1.2950096860386962,25,468.41052449999995,trend_failure|both|15m|w2|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|strict
RM,60m,2178.905049000007,-1904.862000000001,0.4782608695652174,1.5481060277579644,23,95.90423250000094,trend_failure|both|60m|w3|sw0.004|br0.0015|lb24|sl0.015|mh64|cd4|strict
RM,60m,2178.905049000007,-1904.862000000001,0.4782608695652174,1.5481060277579644,23,95.90423250000094,trend_failure|both|60m|w3|sw0.004|br0.0015|lb24|sl0.015|mh64|cd4|aggressive
RM,60m,2178.905049000007,-1904.862000000001,0.4782608695652174,1.5481060277579644,23,95.90423250000094,trend_failure|both|60m|w3|sw0.004|br0.0015|lb24|sl0.015|mh64|cd4|signal
RM,60m,1944.1454300000173,-2347.2941999999966,0.4782608695652174,1.4934409859805367,23,187.6203300000007,breakout|both|60m|w3|sw0.006|br0.0015|lb32|sl0.015|mh32|cd4|aggressive
RM,60m,1944.1454300000173,-2347.2941999999966,0.4782608695652174,1.4934409859805367,23,187.6203300000007,breakout|both|60m|w3|sw0.006|br0.0015|lb32|sl0.015|mh32|cd4|strict
RM,60m,1944.1454300000173,-2347.2941999999966,0.4782608695652174,1.4934409859805367,23,187.6203300000007,breakout|both|60m|w3|sw0.006|br0.0015|lb32|sl0.015|mh32|cd4|signal
FG,60m,4887.599210000021,-1680.9491099999968,0.47619047619047616,2.424275545620596,21,1727.930000000002,trend_failure|short|60m|w3|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|signal
FG,60m,4887.599210000021,-1680.9491099999968,0.47619047619047616,2.424275545620596,21,1727.930000000002,trend_failure|short|60m|w3|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|strict
FG,60m,4887.599210000021,-1680.9491099999968,0.47619047619047616,2.424275545620596,21,1727.930000000002,trend_failure|short|60m|w3|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|aggressive
RB,60m,1867.004912999995,-1516.6377025000002,0.4666666666666667,1.473947157636036,30,1202.6969399999969,trend_failure|both|60m|w2|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|strict
RB,60m,1867.004912999995,-1516.6377025000002,0.4666666666666667,1.473947157636036,30,1202.6969399999969,trend_failure|both|60m|w2|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|aggressive
RB,60m,1867.004912999995,-1516.6377025000002,0.4666666666666667,1.473947157636036,30,1202.6969399999969,trend_failure|both|60m|w2|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|signal
HC,60m,1343.908026999995,-2137.1126495000035,0.46153846153846156,1.3405574212248799,26,814.8486764999951,trend_failure|both|60m|w2|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|signal
HC,60m,1343.908026999995,-2137.1126495000035,0.46153846153846156,1.3405574212248799,26,814.8486764999951,trend_failure|both|60m|w2|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|strict
HC,60m,1343.908026999995,-2137.1126495000035,0.46153846153846156,1.3405574212248799,26,814.8486764999951,trend_failure|both|60m|w2|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|aggressive
RB,60m,1045.8766640000006,-1881.9645119999932,0.46153846153846156,1.2677154811173292,26,1495.8019399999973,trend_failure|both|60m|w3|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|aggressive
